address,balance,share
0x8e1f56859006d2c936efc423596210f18c5a00da,5e+20,0
0x0204275e346dd326ab5daf5b90434c5a1c121ea5,5e+20,0
0x40b33e31d7d13f6c2b929be30e28f2d3a3034e81,5e+20,0
0x3372cbb15275d6061ba1a65980063c6b5d93bf14,4.9e+20,0
0x99bec4a44f61b2cc9ba457946cfab3db0f412b49,4.85e+20,0
0x8f618235c603a99e6491b13f810206cb8118cc46,4.8e+20,0
0x5b367be9bfd87391aca778abca4105a7a8c70616,4.8e+20,0
0x1eb81fe5750cb36c16ef4254ff775a9a47b4bcd6,4.8e+20,0
0xcbf2e9371e3b5e255f97565e14b2e0cbd35739ad,4.75e+20,0
0xd744739c696db57724693d47f26ce02a15aca359,4.7e+20,0
0x53a5efe2608c1b7b53d2ce2c458a066dab72fa5a,4.6e+20,0
0xe614c6d6ff9afc3fe86a7c7c645b48dfb3d957af,4.6e+20,0
0xadc303d6b28313b8a2524792dd1bd8563ef7f697,4.6e+20,0
0xb368e86b6548c53d71fab804846d0149b09aca6c,4.6e+20,0
0x725a0097156179adc13a119d3419e35be94aa6cc,4.6e+20,0
0xda2480216141c03ebde0461b5180de16ac5e465c,4.6e+20,0
0x35b7aaaf8167adf33a0ee6e112a3e9e7dc28939c,4.6e+20,0
0x0a47823e81eda5963b8b93f75d0a0496115aa9a1,4.5e+20,0
0xfa8bef3d44d63fdc2faa4b2bdf2f7740a0dff86a,4.4e+20,0
0x0d013e68d272ac7d1ea9012dce26134c59b3c363,4.4e+20,0
0x1342f0c29e429895199dbea3c2a6079affdda94b,4.4e+20,0
0x5c6fe2e0436dd6e21c0928a6da680bba3d139bad,4.4e+20,0
0xedcffbb0226f09cc55bf6e2e38fc716f512e09d9,4.4e+20,0
0xd88f6955cb9874c9e28832644a5b1081ec4ffe52,4.35e+20,0
0x32f1225a2ca18f11fc2002693df9ab66c597b07d,4.2e+20,0
0x1035e6be87338923d3346ac6a8c8705d3f26892f,4.2e+20,0
0x32676c2d34f2c6de80ccdd59735028a63002f884,4.2e+20,0
0x34ef818d99e1c8686558a0f0025253c4cd0520d5,4.2e+20,0
0x8eabcb8e778f17c4ca6c1f9b9fcbdc417913685d,4.2e+20,0
0x0702857fec6027d4178011205fb1fbf647269495,4.2e+20,0
0x4fd787803db60816f16b121cc7c5637263f1736f,4.2e+20,0
0x56e9c113970fb0a6fb558c3b3dfb930cc005bdd1,4.2e+20,0
0x7b3fc87d51426d9c55b326b9f85020f488251c17,4.15e+20,0
0xe593c0158d4bb31428f7ed464ad1a83589ed5e3a,4e+20,0
0x85222b43927f65d7b0169172463c4f60e9a00dfa,4e+20,0
0xa011379521d4b1a07bed53c0d1633ce57a3050ea,4e+20,0
0x7ecaace01c1ce6f3c8f3b386bebf464257d7d54c,4e+20,0
0x07ba9e2b552f1b61e542dd282a6d25c2b41b066c,4e+20,0
0x5e935554ae093f940d939418a305c12a805185fb,4e+20,0
0x5463330035267238c4ceea433e53aa571f8e004e,4e+20,0
0xba43a4277c8fc8f317e5eaba2d69985a43a26013,4e+20,0
0x2637114145bdd4eaa81c3402aca4368b61dc6685,4e+20,0
0x0c7848af05b2aa7fcb09f68d8d785c52d6ace72c,4e+20,0
0x80ea9cd32b63e198411995fbfb50891a5ce88296,3.95e+20,0
